{36500, 10}
{743, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{1302, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{1331, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{3665, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{4182, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{4347, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{4444, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{4808, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{7249, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{8975, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{9286, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{10852, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{11558, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{13715, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{13947, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{15079, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{16963, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{17007, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{17508, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17538, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17546, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17551, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17554, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17565, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17576, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17584, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17600, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17602, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17610, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17621, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17642, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17650, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17662, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17671, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{17677, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17680, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17681, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17682, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{17689, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17697, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17726, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17738, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17774, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{17804, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17832, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{17860, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17888, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17919, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{17952, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17955, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17958, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17962, {0, 0, 0, 0, 1, 0, 0, 0, 0, 1}, {0.5, 0.5}}
{17981, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{17990, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17993, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17995, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18009, {1, 1, 1, 1, 1, 1, 1, 0, 0, 1}, {0.5, 0.5}}
{18034, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18036, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18067, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18068, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18094, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18160, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18191, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18216, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18251, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18293, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18305, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18313, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18322, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18324, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{18328, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18369, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18384, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18410, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18421, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18429, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18462, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18466, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18478, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18479, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18485, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18499, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18507, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18530, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18534, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18561, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18586, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18611, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18624, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18635, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18658, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18683, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18686, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18688, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18699, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{18713, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18715, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18750, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18760, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18776, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18800, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18829, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18884, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18887, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{18899, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18935, {1, 0, 1, 1, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18952, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{19980, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{20033, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{20983, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{20988, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{21120, {0, 1, 1, 0, 1, 1, 1, 1, 1, 1}, {0.5, 0.5}}
{26134, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{27141, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{29473, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{30783, {0, 0, 0, 0, 0, 1, 1, 0, 0, 0}, {0.5, 0.5}}
{32328, {1, 1, 0, 1, 0, 1, 0, 1, 0, 0}, {0.5, 0.5}}
{32756, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
{33158, {0, 0, 1, 0, 0, 0, 0, 0, 1, 1}, {0.5, 0.5}}
{33563, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
{33943, {1, 1, 0, 1, 0, 1, 0, 1, 0, 0}, {0.5, 0.5}}
{34356, {0, 0, 1, 0, 1, 0, 0, 0, 1, 1}, {0.5, 0.5}}
{34772, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
{35674, {1, 1, 0, 1, 0, 1, 0, 1, 0, 0}, {0.5, 0.5}}
{36485, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
