{500000, 10}
{743, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{1302, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{1331, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{3665, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{4182, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{4347, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{4444, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{4808, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{7249, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{8975, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{9286, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{10852, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{11558, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{13715, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{13947, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{15079, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{16963, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{17007, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{17575, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17876, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17947, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18001, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18031, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18145, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18256, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18328, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18494, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18509, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18590, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18702, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18910, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18990, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{19109, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{19199, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{19262, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{19295, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{19300, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{19313, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{19382, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{19459, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{19755, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{19868, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{20236, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{20530, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{20811, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{21093, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{21369, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{21681, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{22015, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{22042, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{22069, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{22075, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{22106, {0, 0, 0, 0, 1, 0, 0, 0, 0, 1}, {0.5, 0.5}}
{22298, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{22394, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{22424, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{22438, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{22580, {1, 1, 1, 1, 1, 1, 1, 0, 0, 1}, {0.5, 0.5}}
{22583, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{22826, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{22853, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{23162, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{23173, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{23435, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{24089, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{24401, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{24656, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{24997, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{25417, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{25539, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{25624, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{25713, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{25733, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{25776, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{26183, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{26335, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{26592, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{26595, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{26703, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{26778, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{27110, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{27154, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{27276, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{27277, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{27343, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{27478, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{27557, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{27789, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{27832, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{28097, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{28350, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{28599, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{28735, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{28838, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{29067, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{29319, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{29352, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{29373, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{29480, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{29623, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{29642, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{29994, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{30094, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{30247, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{30249, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{30495, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{30784, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{31329, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{31363, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{31482, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{31843, {1, 0, 1, 1, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{32009, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{33480, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{33533, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{34483, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{34488, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{34620, {0, 1, 1, 0, 1, 1, 1, 1, 1, 1}, {0.5, 0.5}}
{39634, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{40641, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{42973, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{44283, {0, 0, 0, 0, 0, 1, 1, 0, 0, 0}, {0.5, 0.5}}
{45828, {1, 1, 0, 1, 0, 1, 0, 1, 0, 0}, {0.5, 0.5}}
{46256, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
{46658, {0, 0, 1, 0, 0, 0, 0, 0, 1, 1}, {0.5, 0.5}}
{47063, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
{47443, {1, 1, 0, 1, 0, 1, 0, 1, 0, 0}, {0.5, 0.5}}
{47856, {0, 0, 1, 0, 1, 0, 0, 0, 1, 1}, {0.5, 0.5}}
{48272, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
