{36500, 10, 0.0004, 0.001, 0.001, 12345, 17501, 1500, 10}
{743, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{1302, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{1331, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{3665, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{4182, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{4347, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{4444, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{4808, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{7249, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{8975, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{9286, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{10852, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{11558, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{13715, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{13947, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{15079, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{16963, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17007, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17554, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17642, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17681, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17682, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17689, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17919, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{17958, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{18369, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{18611, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{18715, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{19980, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{20033, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{20983, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{20988, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{21120, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{26134, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{27141, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{29473, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{30783, 0, {0, 0, 0, 0, 0, 1, 1, 0, 0, 0}}
{32328, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{32756, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{33158, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{33563, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{33943, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{34356, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{34772, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{35674, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{36485, 1, {0, 0, 0, 0, 0, 0, 0, 0, 0, 0}}
{1, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.365734239993298, 0.40865804141513273, 0.8467536208110296}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{16, 17}, {5, 17}}, {{17, 18}, {7, 18}}, {{18, 19}, {15, 19}}}]}
{209, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.365734239993298, 0.40865804141513273, 0.8467536208110296}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{16, 17}, {5, 17}}, {{17, 18}, {7, 18}}, {{15, 19}, {18, 19}}}]}
{601, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.365734239993298, 0.40865804141513273, 0.8467536208110296}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{16, 17}, {5, 17}}, {{17, 18}, {7, 18}}, {{15, 19}, {18, 19}}}]}
{1100, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.365734239993298, 0.40865804141513273, 0.8467536208110296}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{16, 17}, {5, 17}}, {{17, 18}, {7, 18}}, {{15, 19}, {18, 19}}}]}
{2611, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.365734239993298, 0.40865804141513273, 0.8467536208110296}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{16, 17}, {5, 17}}, {{17, 18}, {7, 18}}, {{18, 19}, {15, 19}}}]}
{4570, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.365734239993298, 0.40865804141513273, 0.8467536208110296}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{16, 17}, {5, 17}}, {{17, 18}, {7, 18}}, {{15, 19}, {18, 19}}}]}
{8116, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.365734239993298, 0.40865804141513273, 0.8467536208110296}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{16, 17}, {5, 17}}, {{17, 18}, {7, 18}}, {{15, 19}, {18, 19}}}]}
{8755, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.6374805624077571, 0.8467536208110296}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {15, 18}}, {{17, 19}, {18, 19}}}]}
{9852, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.6374805624077571, 1.3751305239093694}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {15, 18}}, {{17, 19}, {18, 19}}}]}
{10193, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.6374805624077571, 1.3751305239093694}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {15, 18}}, {{17, 19}, {18, 19}}}]}
{10412, CoalescentTree[{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.011872559730571908, 0.018089869920393166, 0.028155562056347772, 0.030964564675908732, 0.04853621884938431, 0.05453612018452145, 0.40865804141513273, 0.6374805624077571, 1.3751305239093694}, {{{1, 11}, {4, 11}}, {{10, 12}, {3, 12}}, {{8, 13}, {11, 13}}, {{9, 14}, {12, 14}}, {{2, 15}, {13, 15}}, {{14, 16}, {6, 16}}, {{5, 17}, {7, 17}}, {{16, 18}, {15, 18}}, {{18, 19}, {17, 19}}}]}
