{36500, 10}
{743, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{1302, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{1331, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{3665, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{4182, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{4347, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{4444, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{4808, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{7249, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{8975, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{9286, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{10852, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{11558, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{13715, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{13947, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{15079, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{16963, {1, 1, 1, 1, 0, 1, 0, 1, 1, 1}, {0.5, 0.5}}
{17007, {0, 0, 1, 0, 0, 1, 0, 0, 1, 1}, {0.5, 0.5}}
{17554, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{17642, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17681, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17682, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{17689, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{17919, {1, 1, 0, 1, 1, 0, 1, 1, 0, 0}, {0.5, 0.5}}
{17958, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{18369, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{18611, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{18715, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{19980, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{20033, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{20983, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{20988, {0, 0, 0, 0, 1, 0, 1, 0, 0, 0}, {0.5, 0.5}}
{21120, {0, 1, 1, 0, 1, 1, 1, 1, 1, 1}, {0.5, 0.5}}
{26134, {1, 1, 0, 1, 0, 0, 0, 1, 0, 0}, {0.5, 0.5}}
{27141, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{29473, {0, 0, 1, 0, 1, 1, 1, 0, 1, 1}, {0.5, 0.5}}
{30783, {0, 0, 0, 0, 0, 1, 1, 0, 0, 0}, {0.5, 0.5}}
{32328, {1, 1, 0, 1, 0, 1, 0, 1, 0, 0}, {0.5, 0.5}}
{32756, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
{33158, {0, 0, 1, 0, 0, 0, 0, 0, 1, 1}, {0.5, 0.5}}
{33563, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
{33943, {1, 1, 0, 1, 0, 1, 0, 1, 0, 0}, {0.5, 0.5}}
{34356, {0, 0, 1, 0, 1, 0, 0, 0, 1, 1}, {0.5, 0.5}}
{34772, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
{35674, {1, 1, 0, 1, 0, 1, 0, 1, 0, 0}, {0.5, 0.5}}
{36485, {0, 0, 1, 0, 1, 0, 1, 0, 1, 1}, {0.5, 0.5}}
